iri,label,typeLabel,country
http://www.wikidata.org/entity/Q26910898,Kells Castle,castle,Ireland
http://www.wikidata.org/entity/Q15251968,Mauchline Castle,castle,United Kingdom
http://www.wikidata.org/entity/Q17545568,St Andrew's Castle,castle,United Kingdom
http://www.wikidata.org/entity/Q7420033,Santameri Castle,castle,Greece
http://www.wikidata.org/entity/Q25100412,Dozza Castle,castle | museum building | rocca,Italy
http://www.wikidata.org/entity/Q68658052,Castello di Cennina,castle,Italy
http://www.wikidata.org/entity/Q62378,Tower of London,museum | castle | tourist attraction | independent museum | archaeological site,United Kingdom
http://www.wikidata.org/entity/Q2970527,Château de Saint-Jean-d'Angle,castle,France
http://www.wikidata.org/entity/Q106369586,Castle in Sesvete,destroyed building or structure | castle,Croatia
http://www.wikidata.org/entity/Q2971604,Château du Bois-Guignot,castle,France
http://www.wikidata.org/entity/Q2799393,Scherpenberg Castle,castle | château,Belgium
http://www.wikidata.org/entity/Q18005241,Castel Spine,castle,Italy
http://www.wikidata.org/entity/Q378453,Château de Malbrouck,castle,France
http://www.wikidata.org/entity/Q2968230,Château d'Estaing,castle,France
http://www.wikidata.org/entity/Q38600423,Castle Pill,castle | enclosure,United Kingdom
http://www.wikidata.org/entity/Q65032730,Castle Balzieland,castle,United Kingdom
http://www.wikidata.org/entity/Q2968306,Château d'Ollans,castle,France
http://www.wikidata.org/entity/Q79752428,Vergano Castle,castle,Italy
http://www.wikidata.org/entity/Q740250,Château de Tarascon,castle,France
http://www.wikidata.org/entity/Q55182461,Castello di Montefiore,castle,Italy
http://www.wikidata.org/entity/Q1013918,Burg Schrofenstein,castle | ruins,Austria
http://www.wikidata.org/entity/Q2630723,Raglan Castle,castle,United Kingdom
http://www.wikidata.org/entity/Q124424573,castle of Gorriti,destroyed building or structure | castle,
http://www.wikidata.org/entity/Q2969328,Château de Gonnord,castle,France
http://www.wikidata.org/entity/Q5757765,Castle of Urbel,castle,Spain
http://www.wikidata.org/entity/Q41307329,Gedenktafel auf dem Burgstall Hohenegg,castle,Germany
http://www.wikidata.org/entity/Q3394962,Castle of Soutomaior,monument | castle,Spain
http://www.wikidata.org/entity/Q41278840,Werkssiedlung Robert-Koch-Str. (Burghausen),castle,Germany
http://www.wikidata.org/entity/Q5872337,Hesar Castle,castle,Iran
http://www.wikidata.org/entity/Q1925837,Château d'Aon,castle,France
http://www.wikidata.org/entity/Q106073164,Borgo di Fiagnano,castle,Italy
http://www.wikidata.org/entity/Q113292460,Castello di Stagno,castle,Italy
http://www.wikidata.org/entity/Q114002933,Castello di torre Astura,castle,Italy
http://www.wikidata.org/entity/Q21126928,Castell de Puiggròs,castle,Spain
http://www.wikidata.org/entity/Q12822,Castle of Burriac,castle,Spain
http://www.wikidata.org/entity/Q83718976,Château fort de Busséol,castle,France
http://www.wikidata.org/entity/Q15944311,Château de Pouzilhac,castle,France
http://www.wikidata.org/entity/Q5940488,"Qal'eh Dokhtar, Shurab",castle | cultural property,Iran
http://www.wikidata.org/entity/Q112172691,Villa Maresi,castle | villa | architectural ensemble,Italy
http://www.wikidata.org/entity/Q2970164,Château de Pailhès,castle | château,France
http://www.wikidata.org/entity/Q106077584,Castello di Vicobarone,castle,Italy
http://www.wikidata.org/entity/Q5598930,Great Canfield Castle,castle,United Kingdom
http://www.wikidata.org/entity/Q49536574,Kriebstein Castle,castle,Germany
http://www.wikidata.org/entity/Q15459612,Château de Monthimer,castle,France
http://www.wikidata.org/entity/Q962814,Torre de Puigcercós,castle,Spain
http://www.wikidata.org/entity/Q24659538,Llanelli Old Castle,castle | motte,United Kingdom
http://www.wikidata.org/entity/Q67772688,Castello di Villincino,castle,Italy
http://www.wikidata.org/entity/Q1011012,Burg Bierkeller,castle,Germany
http://www.wikidata.org/entity/Q5907325,Kolm Castle,castle,Iran
http://www.wikidata.org/entity/Q56661771,Castle Hill,castle | earthworks,United Kingdom
http://www.wikidata.org/entity/Q19838260,Donjon van Batsheers,castle | château,Belgium
http://www.wikidata.org/entity/Q15940200,Château de Lutrin,castle,France
http://www.wikidata.org/entity/Q5924701,Qarah Tikan Castle,castle | cultural property,Iran
http://www.wikidata.org/entity/Q41652064,Aston Ingham,castle,United Kingdom
http://www.wikidata.org/entity/Q83719765,Château fort Duguesclin,castle,France
